scene,operator,contrast_loss,clipping,entropy,DR,log_std,highlight_ratio,shadow_ratio,skew,kurtosis
M3 Middle Pond,filmic,0.27783203125,1.412381880072644e-05,7.330024719238281,2.1830344200134277,0.4785706698894501,0.03360940143465996,0.00031317307730205357,1.844473123550415,41.133968353271484
M3 Middle Pond,gamma,0.4513688385486603,0.907900869846344,1.5050537586212158,2.1830344200134277,0.4785706698894501,0.03360940143465996,0.00031317307730205357,1.844473123550415,41.133968353271484
M3 Middle Pond,reinhard_local,0.3637678623199463,0.2686106264591217,7.07828426361084,2.1830344200134277,0.4785706698894501,0.03360940143465996,0.00031317307730205357,1.844473123550415,41.133968353271484
Mackinac Bridge,reinhard,0.16765689849853516,0.20491555333137512,5.617997169494629,1.6387516260147095,0.21037887036800385,0.0288082305341959,0.001199956750497222,1.2046605348587036,7.334855079650879
Mackinac Bridge,drago,0.1015060693025589,0.025371499359607697,6.734409332275391,1.6387516260147095,0.21037887036800385,0.0288082305341959,0.001199956750497222,1.2046605348587036,7.334855079650879
Mackinac Bridge,filmic,0.11713758111000061,0.0,6.55548620223999,1.6387516260147095,0.21037887036800385,0.0288082305341959,0.001199956750497222,1.2046605348587036,7.334855079650879
Mackinac Bridge,gamma,0.20209766924381256,0.9878934025764465,0.19641658663749695,1.6387516260147095,0.21037887036800385,0.0288082305341959,0.001199956750497222,1.2046605348587036,7.334855079650879
Mackinac Bridge,reinhard_local,0.1562838852405548,0.20308908820152283,6.165393829345703,1.6387516260147095,0.21037887036800385,0.0288082305341959,0.001199956750497222,1.2046605348587036,7.334855079650879
Mammoth Hot Springs,reinhard,0.5000770092010498,0.23468299210071564,6.349267482757568,2.3494129180908203,0.5616474151611328,0.06909755617380142,0.000529678538441658,2.3319613933563232,14.405970573425293
Mammoth Hot Springs,drago,0.32909077405929565,0.001398500637151301,6.900033473968506,2.3494129180908203,0.5616474151611328,0.06909755617380142,0.000529678538441658,2.3319613933563232,14.405970573425293
Mammoth Hot Springs,filmic,0.3983672261238098,8.086155389719352e-08,7.200718402862549,2.3494129180908203,0.5616474151611328,0.06909755617380142,0.000529678538441658,2.3319613933563232,14.405970573425293
Mammoth Hot Springs,gamma,0.558052659034729,0.9727545976638794,0.42185330390930176,2.3494129180908203,0.5616474151611328,0.06909755617380142,0.000529678538441658,2.3319613933563232,14.405970573425293
Mammoth Hot Springs,reinhard_local,0.4840031862258911,0.22662878036499023,6.769121170043945,2.3494129180908203,0.5616474151611328,0.06909755617380142,0.000529678538441658,2.3319613933563232,14.405970573425293
Mason Lake (1),reinhard,0.3554895520210266,0.29717156291007996,6.227227210998535,2.2619364261627197,0.40999653935432434,0.04094413295388222,0.00036078403354622424,1.2561019659042358,4.507630348205566
Mason Lake (1),drago,0.2660977840423584,0.12440170347690582,7.145565986633301,2.2619364261627197,0.40999653935432434,0.04094413295388222,0.00036078403354622424,1.2561019659042358,4.507630348205566
Mason Lake (1),filmic,0.3168872594833374,0.00026810995768755674,6.450714588165283,2.2619364261627197,0.40999653935432434,0.04094413295388222,0.00036078403354622424,1.2561019659042358,4.507630348205566
Mason Lake (1),gamma,0.406657874584198,0.971820056438446,0.5908206105232239,2.2619364261627197,0.40999653935432434,0.04094413295388222,0.00036078403354622424,1.2561019659042358,4.507630348205566
Mason Lake (1),reinhard_local,0.33241474628448486,0.3215197026729584,6.518684387207031,2.2619364261627197,0.40999653935432434,0.04094413295388222,0.00036078403354622424,1.2561019659042358,4.507630348205566
Mason Lake (2),reinhard,0.5152872800827026,0.22820541262626648,6.085629940032959,1.965225100517273,0.5633346438407898,0.04217112436890602,0.0006033378303982317,1.272504210472107,5.292610168457031
Mason Lake (2),drago,0.35862302780151367,0.07429397851228714,6.9578399658203125,1.965225100517273,0.5633346438407898,0.04217112436890602,0.0006033378303982317,1.272504210472107,5.292610168457031
Mason Lake (2),filmic,0.44178855419158936,1.6711388752810308e-06,6.798428058624268,1.965225100517273,0.5633346438407898,0.04217112436890602,0.0006033378303982317,1.272504210472107,5.292610168457031
Mason Lake (2),gamma,0.5630962252616882,0.9998102188110352,0.0043173921294510365,1.965225100517273,0.5633346438407898,0.04217112436890602,0.0006033378303982317,1.272504210472107,5.292610168457031
